url,host_kind,status,error
https://cset.georgetown.edu/wp-content/uploads/Notice-of-the-Ministry-of-Education-on-Issuing-the-Artificial-Intelligence-Innovation-Action-Plan-for-Institutes-of-Higher-Education.pdf   http://www.moe.gov.cn/srcsite/A16/s7062/201804/t20180410_332722.html,original,,InvalidURL: URL can't contain control characters. '/wp-content/uploads/Notice-of-the-Ministry-of-Education-on-Issuing-the-Artificial-Intelligence-Innovation-Action-Plan-for-Institutes-of-Higher-Education.pdf   http://www.moe.gov.cn/srcsite/A16/s7062/201804/t20180410_332722.html' (found at least ' ')
https://cyber.harvard.edu/publication/2020/principled-ai[자료제목],original,,UnicodeEncodeError: 'ascii' codec can't encode characters in position 36-39: ordinal not in range(128)
https://das.ohio.gov/wps/wcm/connect/gov/de987825-6f6d-41e7-86b9-31c957551975/IT-17.pdf?MOD=AJPERES&CONVERT_TO=url&CACHEID=ROOTWORKSPACE.Z18_M1HGGIK0N0JO00QO9DDDDM3000-de987825-6f6d-41e7-86b9-31c957551975-oMRScaB,original,404,HTTPError 404
https://data61.csiro.au/en/Our-Research/Our-Work/AI-Roadmap   https://www.minister.industry.gov.au/ministers/karenandrews/media-releases/ai-next-frontier-solving-national-challenges   https://data61.csiro.au/~/media/D61/AI-Roadmap-assets/19-00346_DATA61_R,original,,InvalidURL: URL can't contain control characters. '/en/Our-Research/Our-Work/AI-Roadmap   https://www.minister.industry.gov.au/ministers/karenandrews/media-releases/ai-next-frontier-solving-national-challenges   https://data61.csiro.au/~/media/D61/AI-Roadmap-assets/19-00346_DATA61_R' (found at least ' ')
https://digichina.stanford.edu/work/full-translation-chinas-new-generation-artificial-intelligence-development-plan-2017/   http://fi.china-embassy.gov.cn/eng/kxjs/201710/P020210628714286134479.pdf,original,,InvalidURL: URL can't contain control characters. '/work/full-translation-chinas-new-generation-artificial-intelligence-development-plan-2017/   http://fi.china-embassy.gov.cn/eng/kxjs/201710/P020210628714286134479.pdf' (found at least ' ')
https://digital-luxembourg.public.lu/news/national-ai-vision-prioritizes-people   https://digital-luxembourg.public.lu/initiatives/artificial-intelligence-strategic-vision-luxembourg   https://digital-luxembourg.public.lu/sites/default/files/2020-09/AI_EN,original,,InvalidURL: URL can't contain control characters. '/news/national-ai-vision-prioritizes-people   https://digital-luxembourg.public.lu/initiatives/artificial-intelligence-strategic-vision-luxembourg   https://digital-luxembourg.public.lu/sites/default/files/2020-09/AI_EN' (found at least ' ')
https://cueesantander.com/media/42ea63d433e83cecfc730465d45c6870.pdf,original,,URLError: <urlopen error timed out>
https://digifinland.fi/en/ai-ecosystem-in-social-and-health-services-sote/,original,404,HTTPError 404
https://dataintelligence.at/dataspaces/ds-datengetriebene-innovation-in-land-und-forstwirtschaft/,original,404,HTTPError 404
https://digitalhumans.com/blog/why-we-wrote-the-five-laws-of-ethical-digital-human-design/[자료제목],original,,UnicodeEncodeError: 'ascii' codec can't encode characters in position 70-73: ordinal not in range(128)
